,product,uf,volume,year_month,unit,created_at
0,OLEO DIESEL S-10 ,RONDONIA,81453.67,2013-01-28,m3,2022-02-22 01:21:55.716025
1,OLEO DIESEL S-10 ,ACRE,1483.0,2013-01-28,m3,2022-02-22 01:21:55.716025
2,OLEO DIESEL S-10 ,AMAZONAS,6836.3,2013-01-28,m3,2022-02-22 01:21:55.716025
3,OLEO DIESEL S-10 ,RORAIMA,1475.3,2013-01-28,m3,2022-02-22 01:21:55.716025
4,OLEO DIESEL S-10 ,PARA,40913.48,2013-01-28,m3,2022-02-22 01:21:55.716025
5,OLEO DIESEL S-10 ,AMAPA,683.948,2013-01-28,m3,2022-02-22 01:21:55.716025
6,OLEO DIESEL S-10 ,TOCANTINS,11771.7,2013-01-28,m3,2022-02-22 01:21:55.716025
7,OLEO DIESEL S-10 ,MARANHAO,12974.0,2013-01-28,m3,2022-02-22 01:21:55.716025
8,OLEO DIESEL S-10 ,PIAUI,6373.25,2013-01-28,m3,2022-02-22 01:21:55.716025
9,OLEO DIESEL S-10 ,CEARA,47724.922,2013-01-28,m3,2022-02-22 01:21:55.716025
10,OLEO DIESEL S-10 ,RIO GRANDE DO NORTE,3025.55,2013-01-28,m3,2022-02-22 01:21:55.716025
11,OLEO DIESEL S-10 ,PARAIBA,2964.5,2013-01-28,m3,2022-02-22 01:21:55.716025
12,OLEO DIESEL S-10 ,PERNAMBUCO,94832.55,2013-01-28,m3,2022-02-22 01:21:55.716025
13,OLEO DIESEL S-10 ,ALAGOAS,58801.637,2013-01-28,m3,2022-02-22 01:21:55.716025
14,OLEO DIESEL S-10 ,SERGIPE,9882.4,2013-01-28,m3,2022-02-22 01:21:55.716025
15,OLEO DIESEL S-10 ,BAHIA,55057.999,2013-01-28,m3,2022-02-22 01:21:55.716025
16,OLEO DIESEL S-10 ,MINAS GERAIS,102297.806,2013-01-28,m3,2022-02-22 01:21:55.716025
17,OLEO DIESEL S-10 ,ESPIRITO SANTO,13020.0,2013-01-28,m3,2022-02-22 01:21:55.716025
18,OLEO DIESEL S-10 ,RIO DE JANEIRO,92614.39,2013-01-28,m3,2022-02-22 01:21:55.716025
19,OLEO DIESEL S-10 ,SAO PAULO,235476.41,2013-01-28,m3,2022-02-22 01:21:55.716025
20,OLEO DIESEL S-10 ,PARANA,54564.884,2013-01-28,m3,2022-02-22 01:21:55.716025
21,OLEO DIESEL S-10 ,SANTA CATARINA,31415.778,2013-01-28,m3,2022-02-22 01:21:55.716025
22,OLEO DIESEL S-10 ,RIO GRANDE DO SUL,36805.532,2013-01-28,m3,2022-02-22 01:21:55.716025
23,OLEO DIESEL S-10 ,MATO GROSSO DO SUL,10515.1,2013-01-28,m3,2022-02-22 01:21:55.716025
24,OLEO DIESEL S-10 ,MATO GROSSO,15429.153,2013-01-28,m3,2022-02-22 01:21:55.716025
25,OLEO DIESEL S-10 ,GOIAS,14061.55,2013-01-28,m3,2022-02-22 01:21:55.716025
26,OLEO DIESEL S-10 ,DISTRITO FEDERAL,66012.73,2013-01-28,m3,2022-02-22 01:21:55.716025
27,OLEO DIESEL S-500 ,RONDONIA,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
28,OLEO DIESEL S-500 ,ACRE,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
29,OLEO DIESEL S-500 ,AMAZONAS,541.0,2013-01-28,m3,2022-02-22 01:21:55.716025
30,OLEO DIESEL S-500 ,RORAIMA,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
31,OLEO DIESEL S-500 ,PARA,2056.0,2013-01-28,m3,2022-02-22 01:21:55.716025
32,OLEO DIESEL S-500 ,AMAPA,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
33,OLEO DIESEL S-500 ,TOCANTINS,2330.5,2013-01-28,m3,2022-02-22 01:21:55.716025
34,OLEO DIESEL S-500 ,MARANHAO,69684.071,2013-01-28,m3,2022-02-22 01:21:55.716025
35,OLEO DIESEL S-500 ,PIAUI,39924.95,2013-01-28,m3,2022-02-22 01:21:55.716025
36,OLEO DIESEL S-500 ,CEARA,2053.5,2013-01-28,m3,2022-02-22 01:21:55.716025
37,OLEO DIESEL S-500 ,RIO GRANDE DO NORTE,1022.55,2013-01-28,m3,2022-02-22 01:21:55.716025
38,OLEO DIESEL S-500 ,PARAIBA,38591.16,2013-01-28,m3,2022-02-22 01:21:55.716025
39,OLEO DIESEL S-500 ,PERNAMBUCO,749045.37,2013-01-28,m3,2022-02-22 01:21:55.716025
40,OLEO DIESEL S-500 ,ALAGOAS,32434.0,2013-01-28,m3,2022-02-22 01:21:55.716025
41,OLEO DIESEL S-500 ,SERGIPE,23705.3,2013-01-28,m3,2022-02-22 01:21:55.716025
42,OLEO DIESEL S-500 ,BAHIA,240737.51,2013-01-28,m3,2022-02-22 01:21:55.716025
43,OLEO DIESEL S-500 ,MINAS GERAIS,220656.52,2013-01-28,m3,2022-02-22 01:21:55.716025
44,OLEO DIESEL S-500 ,ESPIRITO SANTO,88926.941,2013-01-28,m3,2022-02-22 01:21:55.716025
45,OLEO DIESEL S-500 ,RIO DE JANEIRO,82454.598,2013-01-28,m3,2022-02-22 01:21:55.716025
46,OLEO DIESEL S-500 ,SAO PAULO,628861.003,2013-01-28,m3,2022-02-22 01:21:55.716025
47,OLEO DIESEL S-500 ,PARANA,341786.96,2013-01-28,m3,2022-02-22 01:21:55.716025
48,OLEO DIESEL S-500 ,SANTA CATARINA,108014.698,2013-01-28,m3,2022-02-22 01:21:55.716025
49,OLEO DIESEL S-500 ,RIO GRANDE DO SUL,92444.418,2013-01-28,m3,2022-02-22 01:21:55.716025
50,OLEO DIESEL S-500 ,MATO GROSSO DO SUL,5890.73,2013-01-28,m3,2022-02-22 01:21:55.716025
51,OLEO DIESEL S-500 ,MATO GROSSO,981.225,2013-01-28,m3,2022-02-22 01:21:55.716025
52,OLEO DIESEL S-500 ,GOIAS,28780.9,2013-01-28,m3,2022-02-22 01:21:55.716025
53,OLEO DIESEL S-500 ,DISTRITO FEDERAL,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
54,OLEO DIESEL S-1800 ,RONDONIA,57128.718,2013-01-28,m3,2022-02-22 01:21:55.716025
55,OLEO DIESEL S-1800 ,ACRE,14139.166,2013-01-28,m3,2022-02-22 01:21:55.716025
56,OLEO DIESEL S-1800 ,AMAZONAS,97615.793,2013-01-28,m3,2022-02-22 01:21:55.716025
57,OLEO DIESEL S-1800 ,RORAIMA,5462.8,2013-01-28,m3,2022-02-22 01:21:55.716025
58,OLEO DIESEL S-1800 ,PARA,138496.156,2013-01-28,m3,2022-02-22 01:21:55.716025
59,OLEO DIESEL S-1800 ,AMAPA,36902.285,2013-01-28,m3,2022-02-22 01:21:55.716025
